"Category","Filename","LocalPath","Bytes","Sha256","SourceUrl"
"oge-originals","Donald J. Trump 10.17.2025 278-T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 10.17.2025 278-T.pdf","880977","8E2B8EDE940B8EBC9ABD7590B4F6B2016DEC844A7EEA35C263AC494EA805EC68","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/AA799A2729B4D1BE85258D430031A320/$FILE/Donald%20J.%20Trump%2010.17.2025%20278-T.pdf"
"oge-originals","Donald J. Trump 10.20.2025 278-T (2).pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 10.20.2025 278-T (2).pdf","1150858","CC66D6294E60D93F20CD834668FAFFB96251114316F2F9A1D182EBC32245CD24","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/18353894FE440B3685258D430031A337/$FILE/Donald%20J.%20Trump%2010.20.2025%20278-T%20(2).pdf"
"oge-originals","Donald J. Trump 10.20.2025 278-T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 10.20.2025 278-T.pdf","1948252","41405584CCCF872FC6ACA4D2111243CEF92427EA5948AE2E97459DFB3B968EBF","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/2C89623DC721F62585258D430031A32A/$FILE/Donald%20J.%20Trump%2010.20.2025%20278-T.pdf"
"oge-originals","Donald J. Trump 11.14.2025 278-T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 11.14.2025 278-T.pdf","864691","6B9258F6B3B1E46A5A1B73CAED93E8751B1A3FED5BEFA59CA058BBD0BD949C36","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/903A217DC18563EC85258D4A0031B044/$FILE/Donald%20J.%20Trump%2011.14.2025%20278-T.pdf"
"oge-originals","Donald J. Trump 12.18.2025 278-T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 12.18.2025 278-T.pdf","3004431","22BC47470752FC85A42804A260D53BC8FC232B5476535FAC32E43134FB047D1F","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/87BFE542A2751E0285258D6600346FCD/$FILE/Donald%20J.%20Trump%2012.18.2025%20278-T.pdf"
"oge-originals","Donald J. Trump 2.26.2026 278-T (1).pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 2.26.2026 278-T (1).pdf","2589329","460E19FA82EF26CE297F52868A688D321A372B2117DF260D990D3764C3778091","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/174165F6E1E120B185258DB000347F54/$FILE/Donald%20J.%20Trump%202.26.2026%20278-T%20(1).pdf"
"oge-originals","Donald J. Trump 2.26.2026 278-T (2).pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 2.26.2026 278-T (2).pdf","2071102","8A5E83D9886FD6753759CA620116880CBAF7A427BB8533BE33DDF919605F5232","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/BCF60D94B8F1E59285258DB000347F61/$FILE/Donald%20J.%20Trump%202.26.2026%20278-T%20(2).pdf"
"oge-originals","Donald J. Trump 9.3.25 278-T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald J. Trump 9.3.25 278-T.pdf","1333314","BAE8F150A50B1DE9E3EE19417BFC59172F1A7D0CBC3FAA22E9202713112D79F0","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/322B8A28DB21CC9285258CFD002C0D0B/$FILE/Donald%20J.%20Trump%209.3.25%20278-T.pdf"
"oge-originals","Donald-J-Trump 1.14.2026-278T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump 1.14.2026-278T.pdf","3040217","3D2F74D9CC5F1A2A7819E90AEA17357B40DDBCA9839BF89C8B3F047C6F2E33CE","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/268353939B7DACB585258D81003471B1/$FILE/Donald-J-Trump%201.14.2026-278T.pdf"
"oge-originals","Donald-J-Trump-08.12.2025-278T(2) AMENDED.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump-08.12.2025-278T(2) AMENDED.pdf","3701160","69EEBAEC96C824352BF5A60A7664C1941F77CE10DD12B14DEC020F0C410B5FF1","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/024D876AAE518C5085258CEB006E7E2E/$FILE/Donald-J-Trump-08.12.2025-278T(2)%20AMENDED.pdf"
"oge-originals","Donald-J-Trump-08.12.2025-278T(3).pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump-08.12.2025-278T(3).pdf","827222","AC36181EE271FF8F92AA30B06414921B92C3B69D735519B44A2511D7BAC7466B","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/5315A095A2EE1B9185258CEB006E7E36/$FILE/Donald-J-Trump-08.12.2025-278T(3).pdf"
"oge-originals","Donald-J-Trump-08.12.2025-278T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump-08.12.2025-278T.pdf","6974883","4FF1B0A3C85C346123ABA556077327CF6DF2D2FB3514A7F0DD591AB06C2D2043","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/E9C024E25C9E4B2085258CEB006E7E23/$FILE/Donald-J-Trump-08.12.2025-278T.pdf"
"oge-originals","Donald-J-Trump-4.20.2026-278T.pdf","C:\Users\6113101\Forensic-Filing-Assistant\downloads\open-cabinet-trump-donald-j-2025-present\oge-originals\Donald-J-Trump-4.20.2026-278T.pdf","2174415","191E89135107FEE06EA7655D071D92EEE5E266CDF4D6001E3527C3DA79B97AF0","https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CD75555856A7D2E485258DE4002DD4A0/$FILE/Donald-J-Trump-4.20.2026-278T.pdf"
